,Filename,Count
209,test_builtin.py,657
210,test_bytes.py,720
211,test_bz2.py,190
212,test_calendar.py,127
213,test_call.py,87
214,test_capi.py,162
215,test_cgi.py,61
216,test_cgitb.py,19
217,test_charmapcodec.py,15
218,test_check_c_globals.py,0
219,test_class.py,105
220,test_clinic.py,53
221,test_cmath.py,118
222,test_cmd.py,3
223,test_cmd_line.py,92
224,test_cmd_line_script.py,58
225,test_code.py,38
226,test_codeccallbacks.py,134
227,test_codecencodings_cn.py,0
228,test_codecencodings_hk.py,0
229,test_codecencodings_iso2022.py,0
230,test_codecencodings_jp.py,0
231,test_codecencodings_kr.py,0
232,test_codecencodings_tw.py,0
233,test_codecmaps_cn.py,0
234,test_codecmaps_hk.py,0
235,test_codecmaps_jp.py,0
236,test_codecmaps_kr.py,0
237,test_codecmaps_tw.py,0
238,test_codecs.py,506
239,test_codeop.py,16
240,test_code_module.py,15
241,test_collections.py,671
242,test_colorsys.py,14
243,test_compare.py,14
244,test_compile.py,199
245,test_compileall.py,192
246,test_complex.py,323
247,test_concurrent_futures.py,162
248,test_configparser.py,469
249,test_contains.py,24
250,test_context.py,238
251,test_contextlib.py,186
252,test_contextlib_async.py,99
253,test_copy.py,204
254,test_copyreg.py,24
255,test_coroutines.py,241
256,test_cprofile.py,8
257,test_crashers.py,0
258,test_crypt.py,25
259,test_csv.py,229
260,test_ctypes.py,0
261,test_curses.py,341
262,test_c_locale_coercion.py,3
263,test_dataclasses.py,664
264,test_datetime.py,0
265,test_dbm.py,30
266,test_dbm_dumb.py,47
267,test_dbm_gnu.py,40
268,test_dbm_ndbm.py,37
269,test_decimal.py,1413
270,test_decorators.py,68
271,test_defaultdict.py,73
272,test_deque.py,243
273,test_descr.py,1067
274,test_descrtut.py,0
275,test_devpoll.py,24
276,test_dict.py,304
277,test_dictcomps.py,22
278,test_dictviews.py,183
279,test_dict_version.py,12
280,test_difflib.py,80
281,test_dis.py,57
282,test_distutils.py,0
283,test_doctest.py,2
284,test_doctest2.py,0
285,test_docxmlrpc.py,15
286,test_dtrace.py,2
287,test_dynamic.py,17
288,test_dynamicclassattribute.py,38
289,test_eintr.py,0
290,test_embed.py,53
291,test_ensurepip.py,33
292,test_enum.py,950
293,test_enumerate.py,44
294,test_eof.py,16
295,test_epoll.py,48
296,test_errno.py,3
297,test_exceptions.py,358
298,test_exception_group.py,190
299,test_exception_hierarchy.py,46
300,test_exception_variations.py,90
301,test_except_star.py,134
302,test_extcall.py,0
303,test_faulthandler.py,36
304,test_fcntl.py,15
305,test_file.py,23
306,test_filecmp.py,37
307,test_fileinput.py,169
308,test_fileio.py,102
309,test_fileutils.py,1
310,test_file_eintr.py,0
311,test_finalization.py,73
312,test_float.py,519
313,test_flufl.py,12
314,test_fnmatch.py,32
315,test_fork1.py,0
316,test_format.py,103
317,test_fractions.py,377
318,test_frame.py,29
319,test_frozen.py,7
320,test_fstring.py,530
321,test_ftplib.py,114
322,test_funcattrs.py,88
323,test_functools.py,734
324,test_future.py,52
325,test_future3.py,3
326,test_future4.py,1
327,test_future5.py,2
328,test_gc.py,160
329,test_gdb.py,83
330,test_generators.py,91
331,test_generator_stop.py,4
332,test_genericalias.py,114
333,test_genericclass.py,70
334,test_genericpath.py,134
335,test_genexps.py,0
336,test_getargs2.py,549
337,test_getopt.py,51
338,test_getpass.py,9
339,test_getpath.py,22
340,test_gettext.py,87
341,test_glob.py,57
342,test_global.py,0
343,test_grammar.py,199
344,test_graphlib.py,34
345,test_grp.py,19
346,test_gzip.py,138
347,test_hash.py,19
348,test_hashlib.py,113
349,test_heapq.py,55
350,test_hmac.py,84
351,test_html.py,4
352,test_htmlparser.py,2
353,test_httplib.py,323
354,test_httpservers.py,161
355,test_http_cookiejar.py,302
356,test_http_cookies.py,116
357,test_idle.py,0
358,test_imaplib.py,122
359,test_imghdr.py,21
360,test_imp.py,54
361,test_index.py,67
362,test_inspect.py,954
363,test_int.py,221
364,test_interpreters.py,99
365,test_int_literal.py,81
366,test_io.py,773
367,test_ioctl.py,4
368,test_ipaddress.py,752
369,test_isinstance.py,75
370,test_iter.py,170
371,test_iterlen.py,25
372,test_itertools.py,647
373,test_keyword.py,8
374,test_keywordonlyarg.py,52
375,test_kqueue.py,78
376,test_largefile.py,43
377,test_launcher.py,63
378,test_lib2to3.py,0
379,test_linecache.py,43
380,test_list.py,53
381,test_listcomps.py,0
382,test_lltrace.py,18
383,test_locale.py,39
384,test_logging.py,535
385,test_long.py,390
386,test_longexp.py,1
387,test_lzma.py,337
388,test_mailbox.py,467
389,test_mailcap.py,16
390,test_marshal.py,60
391,test_math.py,735
392,test_memoryio.py,314
393,test_memoryview.py,115
394,test_metaclass.py,0
395,test_mimetypes.py,61
396,test_minidom.py,89
397,test_mmap.py,161
398,test_module.py,73
399,test_modulefinder.py,4
400,test_msilib.py,23
401,test_multibytecodec.py,105
402,test_multiprocessing_fork.py,0
403,test_multiprocessing_forkserver.py,0
404,test_multiprocessing_main_handling.py,3
405,test_multiprocessing_spawn.py,0
406,test_named_expressions.py,101
407,test_netrc.py,18
408,test_nis.py,0
409,test_nntplib.py,221
410,test_ntpath.py,100
411,test_numeric_tower.py,19
412,test_opcache.py,1
413,test_opcodes.py,15
414,test_openpty.py,1
415,test_operator.py,255
416,test_optparse.py,247
417,test_ordered_dict.py,195
418,test_os.py,546
419,test_ossaudiodev.py,21
420,test_osx_env.py,2
421,test_pathlib.py,1070
422,test_patma.py,808
423,test_pdb.py,34
424,test_peepholer.py,109
425,test_pep646_syntax.py,0
426,test_pickle.py,31
427,test_picklebuffer.py,29
428,test_pickletools.py,12
429,test_pipes.py,33
430,test_pkg.py,37
431,test_pkgutil.py,53
432,test_platform.py,92
433,test_plistlib.py,105
434,test_poll.py,23
435,test_popen.py,7
436,test_poplib.py,47
437,test_positional_only_arg.py,84
438,test_posix.py,306
439,test_posixpath.py,213
440,test_pow.py,34
441,test_pprint.py,158
442,test_print.py,29
443,test_profile.py,5
444,test_property.py,41
445,test_pstats.py,13
446,test_pty.py,16
447,test_pulldom.py,80
448,test_pwd.py,29
449,test_pyclbr.py,19
450,test_pydoc.py,162
451,test_pyexpat.py,72
452,test_py_compile.py,45
453,test_queue.py,60
454,test_quopri.py,13
455,test_raise.py,61
456,test_random.py,223
457,test_range.py,271
458,test_re.py,1035
459,test_readline.py,32
460,test_regrtest.py,100
461,test_repl.py,6
462,test_reprlib.py,31
463,test_resource.py,16
464,test_richcmp.py,47
465,test_rlcompleter.py,49
466,test_robotparser.py,26
467,test_runpy.py,42
468,test_sax.py,163
469,test_sched.py,31
470,test_scope.py,80
471,test_script_helper.py,32
472,test_secrets.py,24
473,test_select.py,12
474,test_selectors.py,71
475,test_set.py,397
476,test_setcomps.py,0
477,test_shelve.py,23
478,test_shlex.py,29
479,test_shutil.py,352
480,test_signal.py,80
481,test_site.py,70
482,test_slice.py,66
483,test_smtpd.py,119
484,test_smtplib.py,146
485,test_smtpnet.py,0
486,test_sndhdr.py,8
487,test_socket.py,721
488,test_socketserver.py,20
489,test_sort.py,26
490,test_source_encoding.py,25
491,test_spwd.py,30
492,test_ssl.py,626
493,test_stable_abi_ctypes.py,0
494,test_startfile.py,1
495,test_stat.py,39
496,test_statistics.py,472
497,test_strftime.py,4
498,test_string.py,104
499,test_stringprep.py,40
500,test_string_literals.py,94
501,test_strptime.py,96
502,test_strtod.py,9
503,test_struct.py,162
504,test_structmembers.py,26
505,test_structseq.py,41
506,test_subclassinit.py,42
507,test_subprocess.py,341
508,test_sunau.py,6
509,test_sundry.py,0
510,test_super.py,41
511,test_support.py,119
512,test_symtable.py,88
513,test_syntax.py,9
514,test_sys.py,305
515,test_sysconfig.py,59
516,test_syslog.py,1
517,test_sys_setprofile.py,2
518,test_sys_settrace.py,4
519,test_tabnanny.py,14
520,test_tarfile.py,322
521,test_tcl.py,174
522,test_telnetlib.py,35
523,test_tempfile.py,238
524,test_textwrap.py,41
525,test_thread.py,11
526,test_threadedtempfile.py,2
527,test_threading.py,151
528,test_threading_local.py,12
529,test_threadsignals.py,13
530,test_time.py,149
531,test_timeit.py,66
532,test_timeout.py,23
533,test_tix.py,0
534,test_tk.py,0
535,test_tokenize.py,164
536,test_trace.py,43
537,test_traceback.py,340
538,test_tracemalloc.py,224
539,test_ttk_guionly.py,0
540,test_ttk_textonly.py,76
541,test_tuple.py,43
542,test_turtle.py,83
543,test_typechecks.py,28
544,test_types.py,464
545,test_type_annotations.py,24
546,test_type_cache.py,2
547,test_type_comments.py,40
548,test_typing.py,1783
549,test_ucn.py,28
550,test_unary.py,27
551,test_unicode.py,869
552,test_unicodedata.py,111
553,test_unicode_file.py,21
554,test_unicode_file_functions.py,4
555,test_unicode_identifiers.py,8
556,test_unittest.py,0
557,test_univnewlines.py,10
558,test_unpack.py,1
559,test_unpack_ex.py,0
560,test_unparse.py,8
561,test_urllib.py,275
562,test_urllib2.py,269
563,test_urllib2net.py,28
564,test_urllib2_localnet.py,35
565,test_urllibnet.py,23
566,test_urllib_response.py,14
567,test_urlparse.py,379
568,test_userdict.py,63
569,test_userlist.py,17
570,test_userstring.py,5
571,test_utf8source.py,4
572,test_utf8_mode.py,26
573,test_uu.py,19
574,test_uuid.py,32
575,test_venv.py,47
576,test_wait3.py,6
577,test_wait4.py,3
578,test_wave.py,9
579,test_weakref.py,351
580,test_weakset.py,149
581,test_webbrowser.py,22
582,test_winconsoleio.py,39
583,test_winreg.py,54
584,test_winsound.py,12
585,test_with.py,166
586,test_wsgiref.py,89
587,test_xdrlib.py,20
588,test_xmlrpc.py,214
589,test_xmlrpc_net.py,2
590,test_xml_dom_minicompat.py,35
591,test_xml_etree.py,728
592,test_xml_etree_c.py,32
593,test_xxlimited.py,24
594,test_xxtestfuzz.py,0
595,test_yield_from.py,56
596,test_zipapp.py,43
597,test_zipfile.py,460
598,test_zipfile64.py,16
599,test_zipimport.py,123
600,test_zipimport_support.py,5
601,test_zlib.py,152
602,test__locale.py,5
603,test__opcode.py,31
604,test__osx_support.py,18
605,test__xxsubinterpreters.py,244
606,test___all__.py,2
607,test___future__.py,4
608,xmltests.py,0
609,_test_atexit.py,16
610,_test_eintr.py,16
611,_test_embed_set_config.py,30
612,_test_embed_structseq.py,7
613,_test_multiprocessing.py,690
614,test_ctypes.py,0
615,test_selftype.py,0
616,runtest.py,0
617,runtest_mp.py,0
618,testresult.py,0
619,test_base_events.py,227
620,test_buffered_proto.py,0
621,test_context.py,4
622,test_events.py,433
623,test_futures.py,154
624,test_futures2.py,1
625,test_locks.py,306
626,test_pep492.py,22
627,test_proactor_events.py,134
628,test_protocols.py,30
629,test_queues.py,72
630,test_runners.py,40
631,test_selector_events.py,182
632,test_sendfile.py,63
633,test_server.py,15
634,test_sock_lowlevel.py,38
635,test_ssl.py,72
636,test_sslproto.py,55
637,test_streams.py,152
638,test_subprocess.py,57
639,test_taskgroups.py,66
640,test_tasks.py,468
641,test_threads.py,4
642,test_timeouts.py,49
643,test_transports.py,29
644,test_unix_events.py,219
645,test_waitfor.py,33
646,test_windows_events.py,22
647,test_windows_utils.py,27
648,test_asian_codecs.py,2
649,test_contentmanager.py,117
650,test_defect_handling.py,35
651,test_email.py,522
652,test_generator.py,15
653,test_headerregistry.py,245
654,test_inversion.py,3
655,test_message.py,104
656,test_parser.py,9
657,test_pickleable.py,4
658,test_policy.py,50
659,test_utils.py,24
660,test__encoded_words.py,25
661,test__header_value_parser.py,566
662,torture_test.py,1
663,test_abc.py,90
664,test_api.py,54
665,test_compatibilty_files.py,26
666,test_contents.py,0
667,test_files.py,0
668,test_lazy.py,16
669,test_locks.py,10
670,test_main.py,11
671,test_metadata_api.py,14
672,test_namespace_pkgs.py,68
673,test_open.py,7
674,test_path.py,2
675,test_pkg_import.py,4
676,test_read.py,7
677,test_reader.py,19
678,test_resource.py,19
679,test_spec.py,252
680,test_threaded_import.py,8
681,test_util.py,107
682,test_windows.py,9
683,test_zip.py,6
684,test_finder.py,8
685,test_loader.py,12
686,test_case_sensitivity.py,2
687,test_finder.py,2
688,test_loader.py,52
689,test_path_hook.py,1
690,test_finder.py,18
691,test_loader.py,33
692,test_api.py,6
693,test_caching.py,8
694,test_fromlist.py,28
695,test_meta_path.py,10
696,test_packages.py,21
697,test_path.py,21
698,test_relative_imports.py,21
699,test___loader__.py,3
700,test___package__.py,11
701,a_test.py,0
702,test_case_sensitivity.py,7
703,test_file_loader.py,74
704,test_finder.py,11
705,test_path_hook.py,4
706,test_source_encoding.py,1
707,test_decode.py,29
708,test_default.py,1
709,test_dump.py,13
710,test_encode_basestring_ascii.py,4
711,test_enum.py,38
712,test_fail.py,26
713,test_float.py,10
714,test_indent.py,9
715,test_pass1.py,1
716,test_pass2.py,1
717,test_pass3.py,1
718,test_recursion.py,7
719,test_scanstring.py,23
720,test_separators.py,6
721,test_speedups.py,18
722,test_tool.py,35
723,test_unicode.py,26
724,test_c_parser.py,18
725,test_first_sets.py,21
726,test_grammar_validator.py,2
727,test_pegen.py,82
728,test_backup.py,29
729,test_dbapi.py,243
730,test_dump.py,2
731,test_factory.py,79
732,test_hooks.py,24
733,test_regression.py,32
734,test_transactions.py,29
735,test_types.py,65
736,test_userfunctions.py,73
737,test_data.py,2
738,test_error.py,15
739,test_misc.py,7
740,test_fixcid.py,4
741,test_freeze.py,1
742,test_gprof2html.py,1
743,test_i18n.py,45
744,test_lll.py,1
745,test_md5sum.py,22
746,test_pathfix.py,15
747,test_pdeps.py,0
748,test_pindent.py,27
749,test_reindent.py,4
750,test_sundry.py,1
751,test_zoneinfo.py,113
752,update_test_data.py,0
753,testmod.py,0
754,testdata_module_inside_zip.py,0
755,widget_tests.py,16
756,test_colorchooser.py,12
757,test_font.py,59
758,test_geometry_managers.py,297
759,test_images.py,138
760,test_loadtk.py,4
761,test_messagebox.py,5
762,test_misc.py,92
763,test_simpledialog.py,3
764,test_text.py,9
765,test_variables.py,88
766,test_widgets.py,127
767,test_extensions.py,52
768,test_style.py,28
769,test_widgets.py,359
770,test_assertions.py,83
771,test_async_case.py,53
772,test_break.py,31
773,test_case.py,526
774,test_discovery.py,92
775,test_functiontestcase.py,8
776,test_loader.py,168
777,test_program.py,63
778,test_result.py,287
779,test_runner.py,140
780,test_setups.py,54
781,test_skipping.py,144
782,test_suite.py,50
783,_test_warnings.py,5
784,testasync.py,187
785,testcallable.py,25
786,testhelpers.py,238
787,testmagicmethods.py,167
788,testmock.py,439
789,testpatch.py,346
790,testsealable.py,53
791,testsentinel.py,8
792,testwith.py,77
